Number,Product_code,Product_name,Rating,number of reveiws,Price,Images
0,B08X4N3DW2,"Dell Inspiron 3502 15.6"" (39.62 cms) HD Display Laptop (Pentium Silver N5030 / 4GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560427WIN9BE",4.2 out of 5 stars,72,"29,990",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg
1,B08CKY5XX3,"ASUS VivoBook 15 (2020), 39.6 cm HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 10 Home/Transparent Silver/1.8 Kg), X515MA-BR002T",4.0 out of 5 stars,714,"28,514",https://m.media-amazon.com/images/I/81IgKPn5qlL._AC_UY218_.jpg
2,B08HJZHTM1,"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",3.5 out of 5 stars,502,"27,994",https://m.media-amazon.com/images/I/71FB8qoB78L._AC_UY218_.jpg
3,B08RFTYKFZ,"HP 15 Entry Level 15.6-inch (39.62 cms) HD Laptop (AMD 3020e/4GB/1TB HDD/Windows 10 Home/Jet Black/1.74 Kg), 15s-gy0003AU",3.6 out of 5 stars,"1,311","25,990",https://m.media-amazon.com/images/I/719F8WdfBzL._AC_UY218_.jpg
4,B08HJYFZ14,"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au",3.6 out of 5 stars,170,"29,520",https://m.media-amazon.com/images/I/61bkuSlKF4L._AC_UY218_.jpg
5,B08G5M5WTG,"Lenovo Ideapad Slim 3 15.6"" HD Thin and Light Laptop (AMD 3020e/4GB/1TB HDD/Windows 10/Grey/1.85Kg), 81W100HHIN",3.2 out of 5 stars,15,Currently Unavailable,https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg
6,B091B6K2ZM,"(Renewed) Fujitsu Intel Core i5 3340M 15.6-Inch (39.62 cms) 1366 X 768 Laptop (4 GB/320 GB HDD/Windows/Intel HD Graphics/Black/2.40 Kg), A573",4.1 out of 5 stars,95,"24,990",https://m.media-amazon.com/images/I/61J5eB-TdyL._AC_UY218_.jpg
7,B095JY5B3F,"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700J0IH",3.1 out of 5 stars,50,"27,999",https://m.media-amazon.com/images/I/71vCx6vbdBL._AC_UY218_.jpg
8,B095BYNN8Z,"Acer Extensa 15 Thin & Light Laptop Intel Processor Pentium Silver N5030 15.6 inch (35.56 cms) (4GB RAM/1TB HDD/Windows 10/Integrated Graphic Card/Black/1.9 Kg),EX215-31",3.8 out of 5 stars,123,"28,490",https://m.media-amazon.com/images/I/816U-xDHnKS._AC_UY218_.jpg
9,B094Y8L2G9,"ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X515MA-BR004T Thin and Light Laptop (15.6 inch, Transparent Silver, 1.80 Kg",3.4 out of 5 stars,47,"27,890",https://m.media-amazon.com/images/I/41CkeQXMMQL._AC_UY218_.jpg
